"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
9657,2216,0.570130779124537,0.999403067062255,"sample-space reduction",1,2001,"strict equifinality"
11285,2439,0.556561188967441,0.998799978421675,"sample-space reduction",1,2001,"strict equifinality"
13188,2633,0.531943870647863,0.99752729560173,"sample-space reduction",1,2001,"strict equifinality"
15412,2873,0.496297050519522,0.994897912713077,"sample-space reduction",1,2001,"strict equifinality"
18011,3102,0.462361043564431,0.995429667826568,"sample-space reduction",1,2001,"strict equifinality"
21049,3320,0.433749280531937,0.99437063848596,"sample-space reduction",1,2001,"strict equifinality"
24598,3516,0.399420221854872,0.996580097834623,"sample-space reduction",1,2001,"strict equifinality"
28746,3755,0.371617582553307,0.996888754262925,"sample-space reduction",1,2001,"strict equifinality"
33594,3970,0.345473240811949,0.994858040291499,"sample-space reduction",1,2001,"strict equifinality"
39259,4182,0.315480167167165,0.989372525108503,"sample-space reduction",1,2001,"strict equifinality"
45879,4385,0.27374293451792,0.983348047041284,"sample-space reduction",1,2001,"strict equifinality"
53616,4569,0.234286438318357,0.974636064136641,"sample-space reduction",1,2001,"strict equifinality"
62657,4722,0.193907314554962,0.966552225816761,"sample-space reduction",1,2001,"strict equifinality"
73223,4836,0.193907314554962,0.966552225816761,"sample-space reduction",1,2001,"strict equifinality"
85570,4943,0.193907314554962,0.966552225816761,"sample-space reduction",1,2001,"strict equifinality"
100000,5023,0.193907314554962,0.966552225816761,"sample-space reduction",1,2001,"strict equifinality"
500,264,0.770601309415809,0.999400367380084,"finite Zipf reference",2,2002,"strict equifinality"
584,294,0.770601309415809,0.999400367380084,"finite Zipf reference",2,2002,"strict equifinality"
683,330,0.770601309415809,0.999400367380084,"finite Zipf reference",2,2002,"strict equifinality"
798,378,0.770601309415809,0.999400367380084,"finite Zipf reference",2,2002,"strict equifinality"
933,423,0.781022802683042,0.999684313142273,"finite Zipf reference",2,2002,"strict equifinality"
1090,476,0.788194340568683,0.999600756346011,"finite Zipf reference",2,2002,"strict equifinality"
1274,541,0.777413871282693,0.999544588741168,"finite Zipf reference",2,2002,"strict equifinality"
1488,610,0.772520298706093,0.999277243316862,"finite Zipf reference",2,2002,"strict equifinality"
1739,695,0.764969795886672,0.999261694564354,"finite Zipf reference",2,2002,"strict equifinality"
2033,774,0.763226280742723,0.999351475949481,"finite Zipf reference",2,2002,"strict equifinality"
2375,865,0.764661395788565,0.999323680346441,"finite Zipf reference",2,2002,"strict equifinality"
2776,978,0.749777942561745,0.998782308294124,"finite Zipf reference",2,2002,"strict equifinality"
3244,1114,0.73859634794026,0.997863624964805,"finite Zipf reference",2,2002,"strict equifinality"
3791,1253,0.71690320044054,0.99706230929697,"finite Zipf reference",2,2002,"strict equifinality"
4431,1379,0.686736986751563,0.997849359750171,"finite Zipf reference",2,2002,"strict equifinality"
5178,1529,0.651122624817673,0.998984450168386,"finite Zipf reference",2,2002,"strict equifinality"
6051,1697,0.630579827633335,0.999284374615406,"finite Zipf reference",2,2002,"strict equifinality"
7071,1877,0.614737678966963,0.998518730333029,"finite Zipf reference",2,2002,"strict equifinality"
8263,2047,0.591291284751565,0.998494078933119,"finite Zipf reference",2,2002,"strict equifinality"
9657,2250,0.562803979176383,0.998386970476132,"finite Zipf reference",2,2002,"strict equifinality"
11285,2448,0.537242693535959,0.998337104482433,"finite Zipf reference",2,2002,"strict equifinality"
13188,2664,0.514722229170235,0.997602309429765,"finite Zipf reference",2,2002,"strict equifinality"
15412,2870,0.487538211011271,0.99820110187486,"finite Zipf reference",2,2002,"strict equifinality"
18011,3094,0.459357268464418,0.99699487563313,"finite Zipf reference",2,2002,"strict equifinality"
21049,3319,0.423425803361519,0.994152149545629,"finite Zipf reference",2,2002,"strict equifinality"
24598,3551,0.388857359481146,0.991075964106243,"finite Zipf reference",2,2002,"strict equifinality"
28746,3756,0.349883878845463,0.989650170169046,"finite Zipf reference",2,2002,"strict equifinality"
33594,3937,0.312475692686809,0.990085694308136,"finite Zipf reference",2,2002,"strict equifinality"
39259,4129,0.275210810032135,0.990314304626838,"finite Zipf reference",2,2002,"strict equifinality"
45879,4299,0.244112025858411,0.987774793009839,"finite Zipf reference",2,2002,"strict equifinality"
53616,4460,0.211250685229141,0.97835690548429,"finite Zipf reference",2,2002,"strict equifinality"
62657,4589,0.176231223652101,0.971797144558403,"finite Zipf reference",2,2002,"strict equifinality"
73223,4714,0.176231223652101,0.971797144558403,"finite Zipf reference",2,2002,"strict equifinality"
85570,4795,0.176231223652101,0.971797144558403,"finite Zipf reference",2,2002,"strict equifinality"
100000,4870,0.176231223652101,0.971797144558403,"finite Zipf reference",2,2002,"strict equifinality"
500,185,0.785677819302683,0.997916486245221,"Zipf Markov control",2,2002,"strict equifinality"
584,206,0.785677819302683,0.997916486245221,"Zipf Markov control",2,2002,"strict equifinality"
