"vocabulary_size","scale_min","scale_max","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
10000,1,8000,"screening",0.997080855282096,0.0344858269074565,0.00291914471790378,0.0328461023201537,7230.9,272.597974232303,0.0136342494145048
10000,0.5,8000,"screening",0.995613037158782,0.0340314233504957,0.00438696284121798,0.0325817347712614,7045.2,292.78425883613,0.0307927087523637
5000,2,5000,"screening",1.00459295617477,0.0312707289430013,0.00459295617477462,0.0300194584592626,4627.2,71.0067289456116,0.0337523942774405
10000,2,12000,"screening",0.990152900175959,0.0367354042445171,0.0098470998240413,0.0362147250086468,8103.6,205.958032402505,0.155144599911415
10000,1,5000,"screening",1.01277821444156,0.0323311004627043,0.0127782144415602,0.0332272902255214,6170,291.643237154195,0.261252422903198
10000,0.5,5000,"screening",1.01394358613572,0.0320476976513292,0.0139435861357173,0.0334480646166573,6000.2,311.682815980891,0.31107775091867
10000,1,12000,"screening",0.985145663270387,0.0362121854934972,0.0148543367296128,0.0374278166618176,7938.4,243.909454966843,0.353042111482757
10000,0.5,12000,"screening",0.984660773547512,0.0357824100367584,0.0153392264524883,0.0372509684356736,7782.5,247.194143224399,0.376466989057147
10000,2,5000,"screening",1.01578056277893,0.03131924309345,0.0157805627789251,0.0336427057587756,6349.5,276.510498092849,0.398441858591356
5000,2,8000,"screening",0.983698260254935,0.0343943276794918,0.016301739745065,0.0364749162793784,4827.7,40.7104955072331,0.425194749945331
10000,2,20000,"screening",0.981850031908616,0.0389134506781898,0.0181499680913845,0.0411369945551908,8737.7,165.876828466854,0.527074146749239
5000,1,8000,"screening",0.979908761751345,0.0342213450545492,0.020091238248655,0.0381791601004066,4786.7,49.2748527254127,0.645852566982748
5000,0.5,8000,"screening",0.97850493032954,0.0341684661692177,0.0214950696704597,0.0388943915296176,4747.5,61.9628024615486,0.739260832220664
10000,1,20000,"screening",0.975091109599179,0.0384732664540333,0.0249088904008212,0.0441885259935072,8587.8,183.571844851606,0.992724513600198
10000,2,40000,"screening",0.974794790992252,0.0413022635881843,0.0252052090077481,0.0465896108685331,9256.5,112.49913579915,1.01648409779883
10000,0.5,20000,"screening",0.9709525149442,0.0389732812938453,0.0290474850558,0.0470189470043215,8441.7,211.633881975453,1.35001022090708
5000,2,12000,"screening",0.966807291508737,0.0346844797412394,0.0331927084912628,0.0467382896393775,4907,25.4296414970142,1.76280943517752
5000,2,3000,"screening",1.03409639745336,0.0284519447388087,0.0340963974533615,0.0434870804121845,4207.5,127.292532730278,1.86010291087615
10000,1,40000,"screening",0.965783110234486,0.040077484357509,0.0342168897655141,0.0511505603332856,9151.5,111.175786732344,1.87327287236055
5000,1,3000,"screening",1.03427160643047,0.0275576515301542,0.0342716064304653,0.043104811209381,4116.8,139.480623903266,1.87926881171954
5000,0.5,3000,"screening",1.03620141938407,0.0277684809218866,0.0362014193840678,0.0447718934696695,4039.1,152.554143393966,2.09686842467386
5000,1,12000,"screening",0.963043687913042,0.0362938397701461,0.0369563120869582,0.0505102715079179,4880.6,35.040294265634,2.18523040490984
5000,0.5,12000,"screening",0.96143959089482,0.0357744026948813,0.0385604091051803,0.0513685920550374,4866.1,42.217558221932,2.3790482405742
10000,1,3000,"screening",1.03932704593128,0.0277848009136762,0.0393270459312824,0.047343554865605,4863.4,280.796565347782,2.47458646668992
10000,2,3000,"screening",1.04020495733495,0.0283265231661045,0.0402049573349521,0.0483589838346216,5013.4,267.654918795743,2.58630175088851
10000,0.5,3000,"screening",1.04098330168773,0.0286723121667927,0.040983301687731,0.0491886404947178,4732.9,287.316105438669,2.68740962756412
10000,0.5,40000,"screening",0.955727458433976,0.0406511041484064,0.0442725415660242,0.0587138738148955,9034.5,135.518141466988,3.13609269874455
5000,2,20000,"screening",0.953157672671789,0.0374417166625379,0.0468423273282115,0.0587868825631816,4961.1,12.8448000719703,3.51072580723729
5000,1,20000,"screening",0.945257105261784,0.0365210933980397,0.0547428947382156,0.0647857681980299,4948.3,19.4767667862108,4.79485523891096
5000,0.5,20000,"screening",0.942055170459567,0.0376352211782289,0.0579448295404328,0.0680615321329941,4936.7,14.6518864921135,5.3721652327517
5000,2,40000,"screening",0.938084188930196,0.0382411448430046,0.0619158110698037,0.0717615099022096,4986,5.77350269189626,6.1337082566906
5000,1,40000,"screening",0.928017481303285,0.0373291244575881,0.0719825186967153,0.0802221925492944,4978.2,6.76264248155507,8.29037279667676
5000,0.5,40000,"screening",0.920558569138062,0.0385599905913928,0.0794414308619382,0.0874592849522541,4972.9,9.21894185299424,10.0975054998274
