"alpha","r2","n_fit","effective_r_max","vocabulary","tokens","r_max","generator","replicate","seed","benchmark"
0.977366497087475,0.998608984705215,1991,2000,4758,100000,2000,"latent mixture",6,2006,"strict equifinality"
0.98592230928406,0.997999961245857,2392,2401,4758,100000,3000,"latent mixture",6,2006,"strict equifinality"
0.992069372028983,0.999143913657611,291,300,5020,100000,300,"sample-space reduction",6,2006,"strict equifinality"
0.988820684877445,0.999421831593759,491,500,5020,100000,500,"sample-space reduction",6,2006,"strict equifinality"
0.986720600674882,0.999398813844551,991,1000,5020,100000,1000,"sample-space reduction",6,2006,"strict equifinality"
0.974889990861121,0.998748377875262,1991,2000,5020,100000,2000,"sample-space reduction",6,2006,"strict equifinality"
0.965803225657789,0.998093171118338,2628,2637,5020,100000,3000,"sample-space reduction",6,2006,"strict equifinality"
1.00359896231943,0.999562438897418,291,300,4849,100000,300,"finite Zipf reference",7,2007,"strict equifinality"
0.99846916736537,0.999608848152081,491,500,4849,100000,500,"finite Zipf reference",7,2007,"strict equifinality"
0.988372965535202,0.999386433176726,991,1000,4849,100000,1000,"finite Zipf reference",7,2007,"strict equifinality"
0.978815497247556,0.998747516061603,1991,2000,4849,100000,2000,"finite Zipf reference",7,2007,"strict equifinality"
0.969807261070084,0.998067300254526,2615,2624,4849,100000,3000,"finite Zipf reference",7,2007,"strict equifinality"
1.00280503113125,0.999157556138903,291,300,4611,100000,300,"Zipf Markov control",7,2007,"strict equifinality"
0.986857083143794,0.999117948033263,491,500,4611,100000,500,"Zipf Markov control",7,2007,"strict equifinality"
0.971191124950918,0.999101598910777,991,1000,4611,100000,1000,"Zipf Markov control",7,2007,"strict equifinality"
0.962053393632632,0.99855518371854,1991,2000,4611,100000,2000,"Zipf Markov control",7,2007,"strict equifinality"
0.963915703051356,0.998296789394361,2584,2593,4611,100000,3000,"Zipf Markov control",7,2007,"strict equifinality"
0.98610948457148,0.999020690791196,291,300,4761,100000,300,"latent mixture",7,2007,"strict equifinality"
0.976337820697688,0.999292267422337,491,500,4761,100000,500,"latent mixture",7,2007,"strict equifinality"
0.972141271772007,0.999385670563563,991,1000,4761,100000,1000,"latent mixture",7,2007,"strict equifinality"
0.979018277576564,0.998649714062864,1991,2000,4761,100000,2000,"latent mixture",7,2007,"strict equifinality"
0.98170943580001,0.998388653352537,2369,2378,4761,100000,3000,"latent mixture",7,2007,"strict equifinality"
0.99834758472478,0.999301613407388,291,300,5018,100000,300,"sample-space reduction",7,2007,"strict equifinality"
1.0001106497115,0.999502099769699,491,500,5018,100000,500,"sample-space reduction",7,2007,"strict equifinality"
0.989030019354457,0.999383286148644,991,1000,5018,100000,1000,"sample-space reduction",7,2007,"strict equifinality"
0.978332353173861,0.998781816456137,1991,2000,5018,100000,2000,"sample-space reduction",7,2007,"strict equifinality"
0.966883691537879,0.99797362765822,2631,2640,5018,100000,3000,"sample-space reduction",7,2007,"strict equifinality"
0.99429155870272,0.999178158445933,291,300,4863,100000,300,"finite Zipf reference",8,2008,"strict equifinality"
0.991264289593896,0.99943212318443,491,500,4863,100000,500,"finite Zipf reference",8,2008,"strict equifinality"
0.983233821130042,0.999401676430391,991,1000,4863,100000,1000,"finite Zipf reference",8,2008,"strict equifinality"
0.979705139928229,0.998884745815409,1991,2000,4863,100000,2000,"finite Zipf reference",8,2008,"strict equifinality"
0.976145971894481,0.998378114974866,2556,2565,4863,100000,3000,"finite Zipf reference",8,2008,"strict equifinality"
1.00251925056545,0.999031241980232,291,300,4609,100000,300,"Zipf Markov control",8,2008,"strict equifinality"
0.989607392093197,0.999070744478683,491,500,4609,100000,500,"Zipf Markov control",8,2008,"strict equifinality"
