"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
33594,1616,0.961583581608043,0.998434839757732,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
39259,1859,0.941316588776778,0.999339258227046,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
45879,2139,0.941662486441347,0.999321045221454,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
53616,2456,0.945445234163925,0.99929613372983,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
62657,2878,0.957118392506782,0.999551886843155,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
73223,3377,0.957118392506782,0.999551886843155,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
85570,3889,0.957118392506782,0.999551886843155,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
100000,4515,0.957118392506782,0.999551886843155,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
500,208,0.724546101475368,0.992552525631981,"random segmentation",3,2003,"Zipf-compatible / mimicking"
584,224,0.724546101475368,0.992552525631981,"random segmentation",3,2003,"Zipf-compatible / mimicking"
683,247,0.724546101475368,0.992552525631981,"random segmentation",3,2003,"Zipf-compatible / mimicking"
798,275,0.724546101475368,0.992552525631981,"random segmentation",3,2003,"Zipf-compatible / mimicking"
933,315,0.774356341192784,0.998029949738483,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1090,359,0.807480877064334,0.999232002276865,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1274,402,0.81802972687475,0.999561550362191,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1488,457,0.802310449841069,0.999315131476234,"random segmentation",3,2003,"Zipf-compatible / mimicking"
1739,525,0.800571118359417,0.999320590632496,"random segmentation",3,2003,"Zipf-compatible / mimicking"
2033,593,0.794728952645382,0.999074989049646,"random segmentation",3,2003,"Zipf-compatible / mimicking"
2375,662,0.782578302788883,0.999351591696655,"random segmentation",3,2003,"Zipf-compatible / mimicking"
2776,756,0.774796017718993,0.999693458664116,"random segmentation",3,2003,"Zipf-compatible / mimicking"
3244,845,0.786212990995741,0.999518482856641,"random segmentation",3,2003,"Zipf-compatible / mimicking"
3791,958,0.80654492291758,0.99936011346879,"random segmentation",3,2003,"Zipf-compatible / mimicking"
4431,1085,0.822356811410073,0.998954373500218,"random segmentation",3,2003,"Zipf-compatible / mimicking"
5178,1237,0.829096728010064,0.999427598515518,"random segmentation",3,2003,"Zipf-compatible / mimicking"
6051,1418,0.812228061438881,0.998363113032609,"random segmentation",3,2003,"Zipf-compatible / mimicking"
7071,1626,0.78745764323674,0.997317162938988,"random segmentation",3,2003,"Zipf-compatible / mimicking"
8263,1814,0.763400470507514,0.997983588790845,"random segmentation",3,2003,"Zipf-compatible / mimicking"
9657,2023,0.751394803350761,0.999006430320276,"random segmentation",3,2003,"Zipf-compatible / mimicking"
11285,2263,0.74533258140253,0.999240155285901,"random segmentation",3,2003,"Zipf-compatible / mimicking"
13188,2556,0.76010427219229,0.999509601319433,"random segmentation",3,2003,"Zipf-compatible / mimicking"
15412,2906,0.764089496549943,0.999695232696441,"random segmentation",3,2003,"Zipf-compatible / mimicking"
18011,3248,0.760535399814578,0.999605949991816,"random segmentation",3,2003,"Zipf-compatible / mimicking"
21049,3677,0.748435972224183,0.999648153098105,"random segmentation",3,2003,"Zipf-compatible / mimicking"
24598,4106,0.74163277785281,0.999871014218961,"random segmentation",3,2003,"Zipf-compatible / mimicking"
28746,4611,0.743881971812865,0.999867254448718,"random segmentation",3,2003,"Zipf-compatible / mimicking"
33594,5161,0.754287273322631,0.999326741110968,"random segmentation",3,2003,"Zipf-compatible / mimicking"
39259,5820,0.771383751350749,0.999389956450397,"random segmentation",3,2003,"Zipf-compatible / mimicking"
45879,6538,0.788948659769376,0.999376964477853,"random segmentation",3,2003,"Zipf-compatible / mimicking"
53616,7474,0.79715612201222,0.99971190251627,"random segmentation",3,2003,"Zipf-compatible / mimicking"
62657,8445,0.793445370236783,0.99957436006179,"random segmentation",3,2003,"Zipf-compatible / mimicking"
73223,9624,0.793445370236783,0.99957436006179,"random segmentation",3,2003,"Zipf-compatible / mimicking"
85570,10804,0.793445370236783,0.99957436006179,"random segmentation",3,2003,"Zipf-compatible / mimicking"
100000,12136,0.793445370236783,0.99957436006179,"random segmentation",3,2003,"Zipf-compatible / mimicking"
500,24,0.880671366940932,0.967143250481382,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
584,24,0.880671366940932,0.967143250481382,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
683,27,0.880671366940932,0.967143250481382,"Simon reinforcement",3,2003,"Zipf-compatible / mimicking"
