"vocabulary_size","scale_min","scale_max","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5400,1,4035.8994,"50-seed-final",1.03783814593065,0.032824798696366,0.0378381459306487,0.0498762804220291,4539.28,129.022864608707,12.6740858618314
5400,2,3750,"50-seed-final",1.04282547588198,0.0315719124885251,0.0428254758819795,0.0530176511129778,4549.8,122.499812577949,12.8264313546922
5600,1,3750,"50-seed-final",1.04267680809127,0.0326591891650784,0.0426768080912734,0.0535406400133706,4533.44,140.437677367898,13.5758183487869
5500,1,3750,"50-seed-final",1.04211038812381,0.0329577058617788,0.0421103881238081,0.0532707326408775,4494.48,140.319059173538,15.4605756058535
5250,2,3750,"50-seed-final",1.04236253522319,0.0312773714930252,0.0423625352231909,0.052471829382046,4487,113.150973734842,15.8922669811582
5250,1,4035.8994,"50-seed-final",1.03733609071832,0.0331922646655159,0.0373360907183231,0.049736059102828,4473.08,119.087832446202,16.009491855434
5400,1,3750,"50-seed-final",1.04195238399881,0.0325282452889295,0.041952383998813,0.052885986139327,4455.84,135.663352848595,17.5673177671918
5250,1,3750,"50-seed-final",1.04167393172536,0.0327395245705001,0.0416739317253629,0.0527935178328793,4395.26,129.76003126651,21.2433064349857
5500,2,5000,"screening",1.00655434526868,0.0307063352925367,0.00655434526868448,0.029858844021312,4935.6,97.1678959327617,0.255464714063402
5500,1,5000,"screening",1.00490286542471,0.0328811299326495,0.0049028654247063,0.0315767307436312,4863.2,118.806846042922,0.893546751842115
5500,0.5,8000,"screening",0.981838481118455,0.0334456625397528,0.0181615188815449,0.0365594293792372,5113.2,87.2083074534123,1.08463523059798
5500,1,8000,"screening",0.984042742849084,0.0336073072794243,0.0159572571509164,0.035653051034894,5166.6,75.8905644845114,1.60111054794111
5000,2,8000,"screening",0.983698260254935,0.0343943276794918,0.016301739745065,0.0364749162793784,4827.7,40.7104955072331,1.79158030118536
5500,0.5,5000,"screening",1.00422793765045,0.0302472919005389,0.0042279376504486,0.0290049005749174,4794.6,130.664285692593,1.98371570717373
5000,2,12000,"screening",0.966807291508737,0.0346844797412394,0.0331927084912628,0.0467382896393775,4907,25.4296414970142,2.15448327687529
5500,2,8000,"screening",0.986420361436712,0.0341726941157169,0.0135796385632876,0.0351482902048342,5211.6,66.2607643246657,2.20396100911933
5000,1,8000,"screening",0.979908761751345,0.0342213450545492,0.020091238248655,0.0381791601004066,4786.7,49.2748527254127,2.75770807729462
5000,1,12000,"screening",0.963043687913042,0.0362938397701461,0.0369563120869582,0.0505102715079179,4880.6,35.040294265634,2.83431571776889
5000,0.5,12000,"screening",0.96143959089482,0.0357744026948813,0.0385604091051803,0.0513685920550374,4866.1,42.217558221932,3.19777869098273
5000,2,20000,"screening",0.953157672671789,0.0374417166625379,0.0468423273282115,0.0587868825631816,4961.1,12.8448000719703,3.57850657752047
5000,0.5,8000,"screening",0.97850493032954,0.0341684661692177,0.0214950696704597,0.0388943915296176,4747.5,61.9628024615486,3.72291234157538
5000,1,20000,"screening",0.945257105261784,0.0365210933980397,0.0547428947382156,0.0647857681980299,4948.3,19.4767667862108,4.91489044458486
5500,0.5,12000,"screening",0.965606057928885,0.0349163046692221,0.0343939420711153,0.0477511963176818,5268,57.9022164227473,4.92180247383262
5000,0.5,20000,"screening",0.942055170459567,0.0376352211782289,0.0579448295404328,0.0680615321329941,4936.7,14.6518864921135,5.5525302448148
5500,1,12000,"screening",0.967668299001784,0.0352354465066162,0.0323317009982157,0.0465050740339866,5310.9,48.4388503396006,5.715778429236
5500,2,12000,"screening",0.971724656429974,0.0343877641336401,0.0282753435700264,0.0431713046351718,5344.3,37.1724210791938,6.20650581873896
5000,2,5000,"screening",1.00459295617477,0.0312707289430013,0.00459295617477462,0.0300194584592626,4627.2,71.0067289456116,6.70494897741938
5000,1,5000,"screening",1.00258686706325,0.0325635204710342,0.00258686706325206,0.0310005880609329,4563.3,86.6295433312319,9.29123284285556
5500,2,20000,"screening",0.957783550821514,0.0368841025220617,0.042216449178486,0.0548326718135443,5426,25.0643615961433,10.2797891180647
5500,1,20000,"screening",0.951667064709271,0.0365811565837722,0.0483329352907287,0.0595015592159028,5406.1,24.3878384992739,10.5133309778966
5500,0.5,20000,"screening",0.947671595181234,0.0384518297527288,0.0523284048187659,0.0637883284079164,5385.8,41.866985136793,10.5197122853345
5000,0.5,5000,"screening",1.00279061494398,0.0315039802984596,0.00279061494397825,0.0300172988282875,4514.2,96.1293110577853,11.6200927923044
4500,2,12000,"screening",0.963211562604902,0.0353724271554391,0.0367884373950979,0.0497943457488217,4452.9,14.8955623518475,17.0862197642024
4500,2,20000,"screening",0.945929624491428,0.0374689117515937,0.0540703755085724,0.0647080591634602,4480.4,9.85675177508065,18.0552175292117
4500,2,8000,"screening",0.978911017474354,0.0343848770938857,0.021088982525646,0.0388436993533374,4409.1,28.4427299830535,18.2865035690099
4500,1,12000,"screening",0.957715568443364,0.0355263183918735,0.0422844315566355,0.0540729185517158,4439,22.1560124771785,18.5975251363844
4500,0.5,12000,"screening",0.956371920533041,0.0346122532212981,0.0436280794669591,0.0546041810095622,4425.5,25.7649632899667,19.5980511442815
4500,1,20000,"screening",0.937959633854371,0.0361496807646361,0.0620403661456291,0.0708881267133666,4477.9,8.68523651568185,19.6723003608768
4500,1,8000,"screening",0.975571096494032,0.0333940007037433,0.024428903505968,0.04000518317925,4381,34.2377309736236,20.3620612790586
4500,0.5,20000,"screening",0.93475708766582,0.0370226628466701,0.0652429123341798,0.0740962038007201,4467.6,11.9182399893795,20.8947686884369
4500,0.5,8000,"screening",0.975624981653501,0.0336049753313966,0.0243750183464994,0.0401311157297374,4358.7,39.8805159890836,21.8855413754268
4500,2,5000,"screening",1.00123813755608,0.0326996006006848,0.00123813755607505,0.0310462634806129,4278.2,53.4660847848636,27.0097207304369
4500,1,5000,"screening",0.999220012534447,0.0322164642769322,0.0007799874655533,0.0305731727810933,4237.7,64.3014601527662,30.4041560179156
4500,0.5,5000,"screening",1.00023015515283,0.0303903980628593,0.000230155152826317,0.0288317817065042,4191.4,70.9854445174032,34.5757020936613
