"vocabulary_size","persistence","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5800,0.35,"coarse",0.980712361713239,0.00651623944395104,0.0192876382867611,0.0202540916736038,5165.1,14.6245607721318,1.76786078298286
5800,0.35,"refined",0.980712361713239,0.00651623944395104,0.0192876382867611,0.0202540916736038,5165.1,14.6245607721318,1.76786078298286
5825,0.35,"refined",0.982845275302669,0.00852369402377921,0.0171547246973308,0.0189650363371948,5180.6,13.6235090927411,1.86978973214286
5325,0.35,"refined",0.979179909298295,0.00661237009651833,0.0208200907017053,0.0217445917710872,4839.4,12.720936373641,1.87782573795177
5300,0.35,"coarse",0.98173940609091,0.00671517815636975,0.0182605939090904,0.0193399468928257,4823.4,13.9538923283474,1.97022785469063
5300,0.35,"refined",0.98173940609091,0.00671517815636975,0.0182605939090904,0.0193399468928257,4823.4,13.9538923283474,1.97022785469063
5850,0.35,"refined",0.982079352463016,0.00881184150539249,0.0179206475369837,0.0197745620378643,5196.3,14.000396819773,2.16154718364947
5275,0.35,"refined",0.981272531940571,0.00439564531798878,0.0187274680594292,0.0191861300918747,4804.4,12.9546216549239,2.33055856515765
5875,0.35,"refined",0.982530050857302,0.00423642549408028,0.0174699491426982,0.0179262850004865,5212.6,14.6302578393015,2.41494209855067
5250,0.35,"refined",0.980648633990314,0.00332752142041315,0.0193513660096865,0.0196071549533283,4785.5,15.3351448205313,2.73537666129591
5900,0.35,"coarse",0.980249157789904,0.00752401429181509,0.0197508422100965,0.0210010828283977,5229.5,15.5438447982187,2.86194570986191
5900,0.35,"refined",0.980249157789904,0.00752401429181509,0.0197508422100965,0.0210010828283977,5229.5,15.5438447982187,2.86194570986191
5225,0.35,"refined",0.979891174605627,0.00560475540157552,0.020108825394373,0.0207999234023042,4764.1,16.1000345065193,3.24222641524616
5200,0.35,"coarse",0.982450417791681,0.00849189312222644,0.0175495822083193,0.0193103303857273,4746.8,17.067187492053,3.49343660431796
5200,0.35,"refined",0.982450417791681,0.00849189312222644,0.0175495822083193,0.0193103303857273,4746.8,17.067187492053,3.49343660431796
5175,0.35,"refined",0.985827908813032,0.0066377196112323,0.0141720911869684,0.0155081126538774,4726.9,15.7158801499912,3.82677897261089
6000,0.35,"coarse",0.983649287019281,0.00538186839938334,0.0163507129807193,0.0171293278239199,5296.8,21.196435759082,4.12247187238936
5150,0.35,"refined",0.983310199781445,0.00755331050215776,0.0166898002185548,0.0181630581379645,4709.1,15.5381251550286,4.43783033969428
5125,0.35,"refined",0.981933199714507,0.00546803537987793,0.0180668002854928,0.0187967747866468,4689.3,15.3119415997957,5.09537932491686
5100,0.35,"coarse",0.982696168294876,0.00554159563675519,0.0173038317051235,0.0180848263928746,4671.7,16.2552555603821,5.60399959314097
5100,0.35,"refined",0.982696168294876,0.00554159563675519,0.0173038317051235,0.0180848263928746,4671.7,16.2552555603821,5.60399959314097
6100,0.35,"coarse",0.983091237950855,0.00453933609724369,0.0169087620491446,0.0174485314286893,5368.4,19.2538596419292,6.07308606253579
6200,0.35,"coarse",0.983348564522049,0.00544546927041435,0.0166514354779512,0.017434394898989,5431.2,18.0172756603828,8.04692246149781
5000,0.35,"coarse",0.981548062713724,0.00656860244764508,0.0184519372862764,0.0194757765935113,4598.4,14.0570267126445,8.3343455189032
