"top_k","transition_nmi","surrogate_nmi","transition_nmi_excess","transition_nmi_z","generator","replicate","seed","benchmark"
25,0.00187261769083506,0.00178887251705239,8.3745173782668e-05,0.578966455106198,"finite Zipf reference",19,2019,"strict equifinality"
50,0.00612707957997009,0.00600294027613811,0.000124139303831985,0.802120802152447,"finite Zipf reference",19,2019,"strict equifinality"
100,0.0177439033777713,0.0175667281044283,0.000177175273342996,1.09877593572724,"finite Zipf reference",19,2019,"strict equifinality"
25,0.177481030439116,0.00191976159540388,0.175561268843712,1328.92014588405,"Zipf Markov control",19,2019,"strict equifinality"
50,0.190831406022586,0.00619858710833133,0.184632818914255,1773.85186682412,"Zipf Markov control",19,2019,"strict equifinality"
100,0.213404916745953,0.0178605050182481,0.195544411727705,1042.61593201702,"Zipf Markov control",19,2019,"strict equifinality"
25,0.19528986739726,0.195304768544279,-1.49011470192417e-05,-0.0289091921564729,"latent mixture",19,2019,"strict equifinality"
50,0.185209642448627,0.18491057846001,0.000299063988616732,0.728746262849531,"latent mixture",19,2019,"strict equifinality"
100,0.183028274058574,0.183024829987259,3.44407131461222e-06,0.00967336021549382,"latent mixture",19,2019,"strict equifinality"
25,0.390825302240436,0.0133305334672992,0.377494768773137,3943.59659060465,"sample-space reduction",19,2019,"strict equifinality"
50,0.365421510388038,0.0157102858490363,0.349711224539002,1714.29203209103,"sample-space reduction",19,2019,"strict equifinality"
100,0.345820292168764,0.0264719223830613,0.319348369785703,1335.87473842972,"sample-space reduction",19,2019,"strict equifinality"
25,0.00171622383146267,0.00176851288835725,-5.22890568945874e-05,-0.535155495579272,"finite Zipf reference",20,2020,"strict equifinality"
50,0.00614248396374686,0.00602081856900182,0.000121665394745043,0.796653414494143,"finite Zipf reference",20,2020,"strict equifinality"
100,0.0177605594412888,0.0175298617996391,0.000230697641649676,1.17043474787172,"finite Zipf reference",20,2020,"strict equifinality"
